; WAVELENGTH MAT,_REFRACTIVE_INDEX MAT,_ABSORPTION
250,00000 1,60531 1,95166 
259,06040 1,69581 2,02504 
268,12081 1,79381 2,08847 
277,18121 1,89738 2,14265 
286,24161 2,00522 2,18722 
295,30201 2,11577 2,22176 
304,36242 2,22719 2,24618 
313,42282 2,33768 2,26102 
322,48322 2,44577 2,26740 
331,54362 2,55066 2,26669 
340,60403 2,65216 2,26021 
349,66443 2,75048 2,24891 
358,72483 2,84600 2,23334 
367,78523 2,93902 2,21373 
376,84564 3,02970 2,19014 
385,90604 3,11804 2,16251 
394,96644 3,20390 2,13083 
404,02685 3,28706 2,09513 
413,08725 3,36723 2,05548 
422,14765 3,44413 2,01206 
431,20805 3,51747 1,96509 
440,26846 3,58698 1,91485 
449,32886 3,65245 1,86166 
458,38926 3,71370 1,80588 
467,44966 3,77060 1,74787 
476,51007 3,82306 1,68803 
485,57047 3,87105 1,62674 
494,63087 3,91458 1,56436 
503,69128 3,95369 1,50125 
512,75168 3,98847 1,43777 
521,81208 4,01903 1,37422 
530,87248 4,04551 1,31090 
539,93289 4,06807 1,24808 
548,99329 4,08688 1,18599 
558,05369 4,10215 1,12484 
567,11409 4,11405 1,06483 
576,17450 4,12279 1,00610 
585,23490 4,12857 0,94879 
594,29530 4,13158 0,89302 
603,35570 4,13203 0,83887 
612,41611 4,13011 0,78642 
621,47651 4,12599 0,73573 
630,53691 4,11985 0,68683 
639,59732 4,11187 0,63976 
648,65772 4,10220 0,59453 
657,71812 4,09099 0,55115 
666,77852 4,07839 0,50962 
675,83893 4,06454 0,46993 
684,89933 4,04956 0,43207 
693,95973 4,03357 0,39602 
703,02013 4,01668 0,36175 
712,08054 3,99900 0,32926 
721,14094 3,98063 0,29850 
730,20134 3,96166 0,26945 
739,26174 3,94217 0,24208 
748,32215 3,92226 0,21636 
757,38255 3,90199 0,19226 
766,44295 3,88145 0,16974 
775,50336 3,86069 0,14878 
784,56376 3,83980 0,12934 
793,62416 3,81884 0,11140 
802,68456 3,79786 0,09492 
811,74497 3,77693 0,07988 
820,80537 3,75612 0,06624 
829,86577 3,73547 0,05399 
838,92617 3,71507 0,04309 
847,98658 3,69496 0,03352 
857,04698 3,67522 0,02525 
866,10738 3,65592 0,01826 
875,16779 3,63714 0,01252 
884,22819 3,61896 0,00801 
893,28859 3,60150 0,00470 
902,34899 3,58489 0,00258 
911,40940 3,56937 0,00162 
920,46980 3,55546 0,00148 
929,53020 3,54287 0,00138 
938,59060 3,53122 0,00128 
947,65101 3,52033 0,00119 
956,71141 3,51011 0,00110 
965,77181 3,50046 0,00102 
974,83221 3,49134 0,00094 
983,89262 3,48268 0,00087 
992,95302 3,47445 0,00079 
1002,01342 3,46661 0,00073 
1011,07383 3,45912 0,00066 
1020,13423 3,45197 0,00060 
1029,19463 3,44512 0,00055 
1038,25503 3,43856 0,00049 
1047,31544 3,43226 0,00044 
1056,37584 3,42622 0,00040 
1065,43624 3,42040 0,00035 
1074,49664 3,41481 0,00031 
1083,55705 3,40943 0,00027 
1092,61745 3,40424 0,00024 
1101,67785 3,39923 0,00021 
1110,73826 3,39440 0,00018 
1119,79866 3,38974 0,00015 
1128,85906 3,38523 0,00012 
1137,91946 3,38088 0,00010 
1146,97987 3,37666 0,00008 
1156,04027 3,37258 0,00006 
1165,10067 3,36863 0,00005 
1174,16107 3,36480 0,00004 
1183,22148 3,36109 0,00002 
1192,28188 3,35750 0,00002 
1201,34228 3,35401 0,00001 
1210,40268 3,35062 0,00000 
1219,46309 3,35006 0,00000 
1228,52349 3,34415 0,00000 
1237,58389 3,34105 0,00000 
1246,64430 3,33804 0,00000 
1255,70470 3,33512 0,00000 
1264,76510 3,33227 0,00000 
1273,82550 3,32951 0,00000 
1282,88591 3,32682 0,00000 
1291,94631 3,32419 0,00000 
1301,00671 3,32164 0,00000 
1310,06711 3,31916 0,00000 
1319,12752 3,31673 0,00000 
1328,18792 3,31437 0,00000 
1337,24832 3,31207 0,00000 
1346,30872 3,30983 0,00000 
1355,36913 3,30764 0,00000 
1364,42953 3,30550 0,00000 
1373,48993 3,30342 0,00000 
1382,55034 3,30138 0,00000 
1391,61074 3,29940 0,00000 
1400,67114 3,29746 0,00000 
1409,73154 3,29556 0,00000 
1418,79195 3,29371 0,00000 
1427,85235 3,29190 0,00000 
1436,91275 3,29013 0,00000 
1445,97315 3,28840 0,00000 
1455,03356 3,28671 0,00000 
1464,09396 3,28505 0,00000 
1473,15436 3,28343 0,00000 
1482,21477 3,28185 0,00000 
1491,27517 3,28030 0,00000 
1500,33557 3,27878 0,00000 
1509,39597 3,27730 0,00000 
1518,45638 3,27584 0,00000 
1527,51678 3,27442 0,00000 
1536,57718 3,27302 0,00000 
1545,63758 3,27165 0,00000 
1554,69799 3,27031 0,00000 
1563,75839 3,26900 0,00000 
1572,81879 3,26771 0,00000 
1581,87919 3,26645 0,00000 
1590,93960 3,26521 0,00000 
1600,00000 3,26400 0,00000 
