; WAVELENGTH MAT,_REFRACTIVE_INDEX MAT,_ABSORPTION
250,00000 1,35984 2,10311 
259,06040 1,40307 2,18494 
268,12081 1,45050 2,26924 
277,18121 1,50285 2,35566 
286,24161 1,56079 2,44377 
295,30201 1,62498 2,53301 
304,36242 1,69602 2,62277 
313,42282 1,77452 2,71229 
322,48322 1,86109 2,80070 
331,54362 1,95642 2,88686 
340,60403 2,06144 2,96873 
349,66443 2,17417 3,04334 
358,72483 2,29297 3,11098 
367,78523 2,41737 3,17139 
376,84564 2,54689 3,22401 
385,90604 2,68093 3,26819 
394,96644 2,81871 3,30324 
404,02685 2,95923 3,32853 
413,08725 3,10131 3,34361 
422,14765 3,24361 3,34826 
431,20805 3,38475 3,34254 
440,26846 3,52336 3,32686 
449,32886 3,65822 3,30190 
458,38926 3,78837 3,26856 
467,44966 3,91309 3,22790 
476,51007 4,03198 3,18100 
485,57047 4,14489 3,12885 
494,63087 4,25188 3,07235 
503,69128 4,35312 3,01222 
512,75168 4,44885 2,94903 
521,81208 4,53934 2,88320 
530,87248 4,62478 2,81504 
539,93289 4,70536 2,74480 
548,99329 4,78119 2,67268 
558,05369 4,85235 2,59885 
567,11409 4,91887 2,52351 
576,17450 4,98077 2,44686 
585,23490 5,03805 2,36909 
594,29530 5,09072 2,29047 
603,35570 5,13881 2,21122 
612,41611 5,18234 2,13161 
621,47651 5,22138 2,05191 
630,53691 5,25601 1,97237 
639,59732 5,28634 1,89327 
648,65772 5,31250 1,81483 
657,71812 5,33464 1,73729 
666,77852 5,35292 1,66086 
675,83893 5,36754 1,58574 
684,89933 5,37867 1,51208 
693,95973 5,38653 1,44003 
703,02013 5,39131 1,36973 
712,08054 5,39321 1,30126 
721,14094 5,39243 1,23472 
730,20134 5,38919 1,17017 
739,26174 5,38366 1,10766 
748,32215 5,37603 1,04722 
757,38255 5,36648 0,98885 
766,44295 5,35519 0,93259 
775,50336 5,34230 0,87840 
784,56376 5,32798 0,82629 
793,62416 5,31237 0,77623 
802,68456 5,29560 0,72820 
811,74497 5,27779 0,68215 
820,80537 5,25906 0,63806 
829,86577 5,23952 0,59588 
838,92617 5,21927 0,55557 
847,98658 5,19840 0,51708 
857,04698 5,17699 0,48037 
866,10738 5,15512 0,44539 
875,16779 5,13288 0,41210 
884,22819 5,11032 0,38044 
893,28859 5,08750 0,35038 
902,34899 5,06449 0,32186 
911,40940 5,04133 0,29484 
920,46980 5,01808 0,26927 
929,53020 4,99478 0,24512 
938,59060 4,97148 0,22234 
947,65101 4,94821 0,20090 
956,71141 4,92501 0,18074 
965,77181 4,90191 0,16184 
974,83221 4,87895 0,14416 
983,89262 4,85616 0,12766 
992,95302 4,83357 0,11231 
1002,01342 4,81121 0,09808 
1011,07383 4,78910 0,08493 
1020,13423 4,76727 0,07284 
1029,19463 4,74575 0,06178 
1038,25503 4,72456 0,05171 
1047,31544 4,70373 0,04262 
1056,37584 4,68329 0,03448 
1065,43624 4,66327 0,02726 
1074,49664 4,64369 0,02094 
1083,55705 4,62459 0,01549 
1092,61745 4,60599 0,01090 
1101,67785 4,58796 0,00715 
1110,73826 4,57052 0,00420 
1119,79866 4,55373 0,00205 
1128,85906 4,53769 0,00068 
1137,91946 4,52251 0,00005 
1146,97987 4,50851 0,00000 
1156,04027 4,49556 0,00000 
1165,10067 4,48339 0,00000 
1174,16107 4,47186 0,00000 
1183,22148 4,46091 0,00000 
1192,28188 4,45046 0,00000 
1201,34228 4,44047 0,00000 
1210,40268 4,43091 0,00000 
1219,46309 4,42174 0,00000 
1228,52349 4,41293 0,00000 
1237,58389 4,40445 0,00000 
1246,64430 4,39629 0,00000 
1255,70470 4,38842 0,00000 
1264,76510 4,38083 0,00000 
1273,82550 4,37350 0,00000 
1282,88591 4,36642 0,00000 
1291,94631 4,35957 0,00000 
1301,00671 4,35294 0,00000 
1310,06711 4,34652 0,00000 
1319,12752 4,34030 0,00000 
1328,18792 4,33427 0,00000 
1337,24832 4,32842 0,00000 
1346,30872 4,32275 0,00000 
1355,36913 4,31723 0,00000 
1364,42953 4,31188 0,00000 
1373,48993 4,30667 0,00000 
1382,55034 4,30161 0,00000 
1391,61074 4,29669 0,00000 
1400,67114 4,29190 0,00000 
1409,73154 4,28724 0,00000 
1418,79195 4,28270 0,00000 
1427,85235 4,27827 0,00000 
1436,91275 4,27396 0,00000 
1445,97315 4,26976 0,00000 
1455,03356 4,26567 0,00000 
1464,09396 4,26167 0,00000 
1473,15436 4,25778 0,00000 
1482,21477 4,25397 0,00000 
1491,27517 4,25026 0,00000 
1500,33557 4,24664 0,00000 
1509,39597 4,24310 0,00000 
1518,45638 4,23964 0,00000 
1527,51678 4,23626 0,00000 
1536,57718 4,23295 0,00000 
1545,63758 4,22972 0,00000 
1554,69799 4,22657 0,00000 
1563,75839 4,22348 0,00000 
1572,81879 4,22046 0,00000 
1581,87919 4,21750 0,00000 
1590,93960 4,21461 0,00000 
1600,00000 4,21177 0,00000 
